Source,Target,Label,Publication_name
94/11077,118/3303,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
94/11077,85/2221,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
94/11077,43/4727,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
94/11077,s/ASperduti,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
94/11077,34/4610,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
94/11077,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
118/3303,85/2221,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
118/3303,43/4727,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
118/3303,s/ASperduti,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
118/3303,34/4610,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
118/3303,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
85/2221,43/4727,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
85/2221,s/ASperduti,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
85/2221,34/4610,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
85/2221,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
43/4727,s/ASperduti,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
43/4727,34/4610,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
43/4727,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
s/ASperduti,34/4610,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
s/ASperduti,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
34/4610,h/CesarHervasMartinez,15227,"Multi-task learning for the prediction of wind power ramp events with deep neural networks."
234/6237,177/8814,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
234/6237,81/760,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
234/6237,51/10740,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
177/8814,81/760,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
177/8814,51/10740,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
81/760,51/10740,15230,"Named entity recognition in electronic health records using transfer learning bootstrapped Neural Networks."
139/7455,139/7455,15231,"A counterexample regarding "New study on neural networks - The essential order of approximation"."
233/0711,s/JuanHumbertoSossaAzuela,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
233/0711,38/7736,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
233/0711,88/4564,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
s/JuanHumbertoSossaAzuela,38/7736,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
s/JuanHumbertoSossaAzuela,88/4564,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
38/7736,88/4564,15234,"Spiking Neural Networks applied to the classification of motor tasks in EEG signals."
34/7343,255/9963,15235,"Multistability of switched neural networks with sigmoidal activation functions under state-dependent switching."
34/7343,w/JunWang2,15235,"Multistability of switched neural networks with sigmoidal activation functions under state-dependent switching."
255/9963,w/JunWang2,15235,"Multistability of switched neural networks with sigmoidal activation functions under state-dependent switching."
232/2070,01/8502,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
232/2070,58/2821,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
232/2070,26/1194-2,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
01/8502,58/2821,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
01/8502,26/1194-2,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
58/2821,26/1194-2,15236,"A biologically plausible supervised learning method for spiking neural networks using the symmetric STDP rule."
22/2303,08/312,15237,"On the minimax optimality and superiority of deep neural network learning over sparse parameter spaces."
85/93,08/2359,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
85/93,117/3097,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
85/93,22/4613,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
08/2359,117/3097,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
08/2359,22/4613,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
117/3097,22/4613,15239,"New H∞ state estimation criteria of delayed static neural networks via the Lyapunov-Krasovskii functional with negative definite terms."
144/2265,22/11006,15240,"Evolving artificial neural networks with feedback."
144/2265,37/5353,15240,"Evolving artificial neural networks with feedback."
22/11006,37/5353,15240,"Evolving artificial neural networks with feedback."
256/0553,08/5217,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
256/0553,73/3317,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
256/0553,54/5748,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
08/5217,73/3317,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
08/5217,54/5748,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
73/3317,54/5748,15244,"Synchronization in an array of coupled neural networks with delayed impulses - Average impulsive delay method."
38/9022,76/7010,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
38/9022,34/25,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
38/9022,60/6903,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
38/9022,03/627,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
76/7010,34/25,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
76/7010,60/6903,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
76/7010,03/627,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
34/25,60/6903,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
34/25,03/627,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
60/6903,03/627,15245,"Adaptive fault-tolerant consensus for a class of leader-following systems using neural network learning strategy."
98/4371,44/429,15248,"Effects of infinite occurrence of hybrid impulses with quasi-synchronization of parameter mismatched neural networks."
98/4371,25/7045-3,15248,"Effects of infinite occurrence of hybrid impulses with quasi-synchronization of parameter mismatched neural networks."
44/429,25/7045-3,15248,"Effects of infinite occurrence of hybrid impulses with quasi-synchronization of parameter mismatched neural networks."
226/6376,k/NikolaKKasabov,15249,"Deep learning and deep knowledge representation in Spiking Neural Networks for Brain-Computer Interfaces."
226/6376,150/4110,15249,"Deep learning and deep knowledge representation in Spiking Neural Networks for Brain-Computer Interfaces."
k/NikolaKKasabov,150/4110,15249,"Deep learning and deep knowledge representation in Spiking Neural Networks for Brain-Computer Interfaces."
37/10443,243/6012,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
37/10443,243/6138,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
37/10443,02/6219,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
37/10443,02/6465,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
37/10443,03/2800,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
243/6012,243/6138,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
243/6012,02/6219,15251,"A review on neural network models of schizophrenia and autism spectrum disorder."
